วันที่,month(hide),รายการ,ราคา,จำนวน,รวม
15/03/25,March,BudgieAI,172.19,1,172.19
04/05/25,May,OpenRouter AI,193.41,1,193.41
19/05/25,May,Anthropic AI,182.7,1,182.7
23/05/25,May,Anthropic AI,179.97,1,179.97
08/07/25,July,OpenRouter AI,193.3,1,193.3
13/07/25,July,OpenRouter AI,193.33,1,193.33
14/07/25,July,OpenRouter AI,193.33,1,193.33
01/08/25,August,OpenRouter AI,361.44,1,361.44
01/08/25,August,DigitalOcean,216.86,1,216.86
13/08/25,August,RunPod GPU,331.76,1,331.76
01/09/25,September,OpenRouter AI,191.91,1,191.91
01/09/25,September,OpenRouter AI,191.91,1,191.91
12/09/25,September,OpenRouter AI,188.66,1,188.66
16/09/25,September,OpenRouter AI,352.4,1,352.4
16/09/25,September,OpenRouter AI,352.4,1,352.4
22/09/25,September,Google Cloud,400.0,1,400.0
22/09/25,September,Google Cloud,400.0,1,400.0
04/10/25,October,RunPod GPU,331.6,1,331.6
25/10/25,October,OpenRouter AI,362.43,1,362.43
01/11/25,November,Google Cloud,2.34,1,2.34
08/11/25,November,Kie.ai,165.65,1,165.65
08/11/25,November,Kie.ai,165.65,1,165.65
30/11/25,November,Z.AI Service,213.35,1,213.35
02/01/26,January,Google Cloud,59.46,1,59.46
